NP_000026.2	NP_000026.2; NP_005156.1	364; 364	Pfam	PF00274; PF00274	Fructose-bisphosphate aldolase class-I; Fructose-bisphosphate aldolase class-I	5.2E-173; 8.4E-181	IPR000741; IPR000741	Fructose-bisphosphate aldolase, class-I; Fructose-bisphosphate aldolase, class-I
NP_000998.1	NP_000998.1; NP_000999.1; NP_001034656.1	263; 263; 263	Pfam	PF00900, PF00467, PF16121, PF01479, PF08071; PF00467, PF00900, PF16121, PF08071; PF00467, PF00900, PF08071, PF16121	Ribosomal family S4e, KOW motif, 40S ribosomal protein S4 C-terminus, S4 domain, RS4NT (NUC023) domain; KOW motif, Ribosomal family S4e, 40S ribosomal protein S4 C-terminus, RS4NT (NUC023) domain; KOW motif, Ribosomal family S4e, RS4NT (NUC023) domain, 40S ribosomal protein S4 C-terminus	1.7E-38, 2.0E-5, 3.8E-29, 7.9E-6, 2.3E-21; 1.8E-5, 2.2E-36, 8.1E-28, 2.3E-21; 8.6E-6, 1.8E-36, 2.3E-21, 2.5E-28	IPR013845, IPR005824, IPR032277, IPR002942, IPR013843; IPR005824, IPR013845, IPR032277, IPR013843; IPR005824, IPR013845, IPR013843, IPR032277	Ribosomal protein S4e, central region, KOW, 40S ribosomal protein S4, C-terminal domain, RNA-binding S4 domain, Ribosomal protein S4e, N-terminal; KOW, Ribosomal protein S4e, central region, 40S ribosomal protein S4, C-terminal domain, Ribosomal protein S4e, N-terminal; KOW, Ribosomal protein S4e, central region, Ribosomal protein S4e, N-terminal, 40S ribosomal protein S4, C-terminal domain
NP_001021.1	NP_001021.1; NP_057004.1	84; 84	Pfam	PF01667; PF01667	Ribosomal protein S27; Ribosomal protein S27	1.5E-30; 1.5E-30	IPR000592; IPR000592	Ribosomal protein S27; Ribosomal protein S27
NP_001045.2	NP_001045.2; NP_808220.1; NP_001017390.1	295; 295; 295	Pfam	PF00685; PF00685; PF00685	Sulfotransferase domain; Sulfotransferase domain; Sulfotransferase domain	8.0E-85; 7.3E-85; 7.3E-85	IPR000863; IPR000863; IPR000863	Sulfotransferase domain; Sulfotransferase domain; Sulfotransferase domain
NP_001060.1	NP_001060.1; NP_821080.1; NP_006079.1; NP_006077.2; NP_115914.1; NP_817124.1; NP_001345618.1; NP_110400.1	445; 445; 445; 450; 446; 444; 444; 451	Pfam	PF03953, PF00091; PF00091, PF03953; PF00091, PF03953; PF00091, PF03953; PF03953, PF00091; PF03953, PF00091; PF03953, PF00091; PF00091, PF03953	Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain, Tubulin/FtsZ family, GTPase domain; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain	8.3E-43, 1.5E-68; 2.7E-69, 8.3E-43; 8.7E-69, 2.0E-42; 1.9E-69, 8.2E-42; 9.4E-41, 9.8E-70; 3.0E-40, 1.3E-70; 1.3E-38, 1.3E-67; 9.4E-70, 4.4E-39	IPR018316, IPR003008; IPR003008, IPR018316; IPR003008, IPR018316; IPR003008, IPR018316; IPR018316, IPR003008; IPR018316, IPR003008; IPR018316, IPR003008; IPR003008, IPR018316	Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain, Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain
NP_001064.1	NP_001064.1; NP_444267.1; NP_001066.1; NP_001065.2; NP_066962.2; NP_001067.2; NP_001068.1	529; 529; 528; 529; 528; 530; 530	Pfam	PF00201; PF00201; PF00201; PF00201; PF00201; PF00201; PF00201	UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase; UDP-glucoronosyl and UDP-glucosyl transferase	6.6E-258; 2.6E-251; 6.7E-259; 1.8E-261; 7.1E-265; 7.3E-265; 1.3E-265	IPR002213; IPR002213; IPR002213; IPR002213; IPR002213; IPR002213; IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase; UDP-glucuronosyl/UDP-glucosyltransferase
NP_001073.3	NP_001073.3; NP_001356625.1; NP_067010.3; NP_076433.3; XP_024307108.1	520; 520; 524; 524; 520	Pfam	PF00067; PF00067; PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450	3.8E-136; 1.3E-137; 5.6E-133; 1.5E-135; 1.5E-133	IPR001128; IPR001128; IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_001091.1	NP_001091.1; NP_005150.1; NP_001307784.1; NP_001606.1; NP_001186883.1; NP_001092.1; NP_001017992.1	377; 377; 377; 376; 375; 375; 376	Pfam	PF00022; PF00022; PF00022; PF00022; PF00022; PF00022; PF00022	Actin; Actin; Actin; Actin; Actin; Actin; Actin	8.5E-149; 5.5E-149; 1.4E-148; 6.2E-148; 3.8E-151; 1.1E-150; 9.6E-147	IPR004000; IPR004000; IPR004000; IPR004000; IPR004000; IPR004000; IPR004000	Actin family; Actin family; Actin family; Actin family; Actin family; Actin family; Actin family
NP_001142.2	NP_001142.2; NP_001143.2; NP_001627.2	298; 298; 298	Pfam	PF00153; PF00153; PF00153	Mitochondrial carrier protein; Mitochondrial carrier protein; Mitochondrial carrier protein	3.4E-25; 8.2E-25; 1.3E-25	IPR018108; IPR018108; IPR018108	Mitochondrial substrate/solute carrier; Mitochondrial substrate/solute carrier; Mitochondrial substrate/solute carrier
NP_001227.1	NP_001227.1; NP_001748.1	277; 277	Pfam	PF00106; PF00106	short chain dehydrogenase; short chain dehydrogenase	2.4E-27; 2.2E-26	IPR002347; IPR002347	Short-chain dehydrogenase/reductase SDR; Short-chain dehydrogenase/reductase SDR
NP_001274.1	NP_001274.1; NP_001259000.1; NP_001034658.1	158; 160; 154	Pfam	PF01217; PF01217; PF01217	Clathrin adaptor complex small chain; Clathrin adaptor complex small chain; Clathrin adaptor complex small chain	1.0E-61; 2.8E-60; 3.1E-56	IPR022775; IPR022775; IPR022775	AP complex, mu/sigma subunit; AP complex, mu/sigma subunit; AP complex, mu/sigma subunit
NP_001312.1	NP_001312.1; NP_001180500.1	193; 193	Pfam	PF00412; PF00412	LIM domain; LIM domain	5.3E-17; 3.1E-16	IPR001781; IPR001781	Zinc finger, LIM-type; Zinc finger, LIM-type
NP_001313.1	NP_001313.1; NP_001890.1; NP_001889.2	141; 141; 141	Pfam	PF00031; PF00031; PF00031	Cystatin domain; Cystatin domain; Cystatin domain	7.0E-30; 4.9E-28; 1.2E-29	IPR000010; IPR000010; IPR000010	Cystatin domain; Cystatin domain; Cystatin domain
NP_001318.1	NP_001318.1; NP_640343.1	180; 180	Pfam	PF09341; PF09341	Transcription factor Pcc1; Transcription factor Pcc1	9.1E-12; 9.1E-12	IPR015419; IPR015419	CTAG/Pcc1 family; CTAG/Pcc1 family
NP_001324.2	NP_001324.2; NP_001369686.1	334; 333	Pfam	PF08246, PF00112; PF00112, PF08246	Cathepsin propeptide inhibitor domain (I29), Papain family cysteine protease; Papain family cysteine protease, Cathepsin propeptide inhibitor domain (I29)	7.7E-12, 4.4E-85; 1.4E-84, 1.7E-11	IPR013201, IPR000668; IPR000668, IPR013201	Cathepsin propeptide inhibitor domain (I29), Peptidase C1A, papain C-terminal; Peptidase C1A, papain C-terminal, Cathepsin propeptide inhibitor domain (I29)
NP_001344.2	NP_001344.2; NP_001380321.1; NP_001240837.1; NP_001809.4	323; 323; 323; 323	Pfam	PF00248; PF00248; PF00248; PF00248	Aldo/keto reductase family; Aldo/keto reductase family; Aldo/keto reductase family; Aldo/keto reductase family	8.9E-58; 9.3E-59; 1.5E-55; 4.9E-55	IPR023210; IPR023210; IPR023210; IPR023210	NADP-dependent oxidoreductase domain; NADP-dependent oxidoreductase domain; NADP-dependent oxidoreductase domain; NADP-dependent oxidoreductase domain
NP_001347.3	NP_001347.3; NP_004651.2	662; 660	Pfam	PF00270, PF00271; PF00271, PF00270	DEAD/DEAH box helicase, Helicase conserved C-terminal domain; Helicase conserved C-terminal domain, DEAD/DEAH box helicase	8.0E-51, 2.2E-31; 1.5E-30, 1.0E-50	IPR011545, IPR001650; IPR001650, IPR011545	DEAD/DEAH box helicase domain, Helicase, C-terminal; Helicase, C-terminal, DEAD/DEAH box helicase domain
NP_001369.1	NP_001369.1; NP_004402.1	638; 645	Pfam	PF00400, PF11540; PF00400, PF11540	WD domain, G-beta repeat, Cytoplasmic dynein 1 intermediate chain 2; WD domain, G-beta repeat, Cytoplasmic dynein 1 intermediate chain 2	0.15, 1.7E-15; 0.11, 6.1E-15	IPR001680, IPR025956; IPR001680, IPR025956	WD40 repeat, Cytoplasmic dynein 1 intermediate chain 1/2; WD40 repeat, Cytoplasmic dynein 1 intermediate chain 1/2
NP_001393.1	NP_001393.1; NP_001949.1	462; 463	Pfam	PF00009, PF03143, PF03144; PF00009, PF03143, PF03144	Elongation factor Tu GTP binding domain, Elongation factor Tu C-terminal domain, Elongation factor Tu domain 2; Elongation factor Tu GTP binding domain, Elongation factor Tu C-terminal domain, Elongation factor Tu domain 2	4.6E-54, 2.3E-31, 5.2E-15; 8.1E-55, 1.5E-31, 1.4E-14	IPR000795, IPR004160, IPR004161; IPR000795, IPR004160, IPR004161	Translational (tr)-type GTP-binding domain, Translation elongation factor EFTu/EF1A, C-terminal, Translation elongation factor EFTu-like, domain 2; Translational (tr)-type GTP-binding domain, Translation elongation factor EFTu/EF1A, C-terminal, Translation elongation factor EFTu-like, domain 2
NP_001403.1	NP_001403.1; NP_004672.2	144; 144	Pfam	PF01176; PF01176	Translation initiation factor 1A / IF-1; Translation initiation factor 1A / IF-1	7.6E-22; 2.0E-21	IPR006196; IPR006196	RNA-binding domain, S1, IF1 type; RNA-binding domain, S1, IF1 type
NP_001406.1	NP_001406.1; NP_001344663.1	472; 472	Pfam	PF00009, PF09173, PF03144; PF03144, PF09173, PF00009	Elongation factor Tu GTP binding domain, Initiation factor eIF2 gamma, C terminal, Elongation factor Tu domain 2; Elongation factor Tu domain 2, Initiation factor eIF2 gamma, C terminal, Elongation factor Tu GTP binding domain	1.2E-21, 2.7E-34, 1.6E-12; 9.1E-11, 2.7E-34, 1.3E-21	IPR000795, IPR015256, IPR004161; IPR004161, IPR015256, IPR000795	Translational (tr)-type GTP-binding domain, Initiation factor eIF2 gamma, C-terminal, Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu-like, domain 2, Initiation factor eIF2 gamma, C-terminal, Translational (tr)-type GTP-binding domain
NP_001407.1	NP_001407.1; NP_001958.2; NP_055555.1	406; 407; 411	Pfam	PF00270, PF00271; PF00271, PF00270; PF00271, PF00270	DEAD/DEAH box helicase, Helicase conserved C-terminal domain; Helicase conserved C-terminal domain, DEAD/DEAH box helicase; Helicase conserved C-terminal domain, DEAD/DEAH box helicase	3.7E-44, 8.2E-31; 8.5E-31, 8.3E-44; 2.4E-31, 2.7E-42	IPR011545, IPR001650; IPR001650, IPR011545; IPR001650, IPR011545	DEAD/DEAH box helicase domain, Helicase, C-terminal; Helicase, C-terminal, DEAD/DEAH box helicase domain; Helicase, C-terminal, DEAD/DEAH box helicase domain
NP_001419.1	NP_001419.1; NP_001966.1; NP_001361453.1	434; 434; 443	Pfam	PF03952, PF00113; PF00113, PF03952; PF03952, PF00113	Enolase, N-terminal domain, Enolase, C-terminal TIM barrel domain; Enolase, C-terminal TIM barrel domain, Enolase, N-terminal domain; Enolase, N-terminal domain, Enolase, C-terminal TIM barrel domain	1.1E-59, 1.7E-149; 3.7E-150, 5.8E-59; 3.2E-58, 1.5E-148	IPR020811, IPR020810; IPR020810, IPR020811; IPR020811, IPR020810	Enolase, N-terminal, Enolase, C-terminal TIM barrel domain; Enolase, C-terminal TIM barrel domain, Enolase, N-terminal; Enolase, N-terminal, Enolase, C-terminal TIM barrel domain
NP_001453.1	NP_001453.1; NP_002021.3	351; 353	Pfam	PF00001; PF00001	7 transmembrane receptor (rhodopsin family); 7 transmembrane receptor (rhodopsin family)	1.6E-39; 1.5E-39	IPR000276; IPR000276	G protein-coupled receptor, rhodopsin-like; G protein-coupled receptor, rhodopsin-like
NP_001457.1	NP_001457.1; NP_003498.1	565; 574	Pfam	PF01534, PF01392; PF01392, PF01534	Frizzled/Smoothened family membrane region, Fz domain; Fz domain, Frizzled/Smoothened family membrane region	4.1E-145, 1.8E-32; 1.8E-32, 1.6E-143	IPR000539, IPR020067; IPR020067, IPR000539	Frizzled/Smoothened, transmembrane domain, Frizzled domain; Frizzled domain, Frizzled/Smoothened, transmembrane domain
NP_001474.1	NP_001474.1; NP_003625.2	286; 284	Pfam	PF07978; PF07978	NIPSNAP; NIPSNAP	7.4E-34; 1.7E-35	IPR012577; IPR012577	NIPSNAP; NIPSNAP
NP_001484.1	NP_001484.1; NP_001485.2	447; 445	Pfam	PF00996; PF00996	GDP dissociation inhibitor; GDP dissociation inhibitor	3.8E-242; 1.6E-237	IPR018203; IPR018203	GDP dissociation inhibitor; GDP dissociation inhibitor
NP_001502.1	NP_001502.1; NP_002080.1; NP_002081.2	107; 107; 107	Pfam	PF00048; PF00048; PF00048	Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like; Small cytokines (intecrine/chemokine), interleukin-8 like	3.2E-15; 1.2E-15; 1.4E-14	IPR001811; IPR001811; IPR001811	Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain; Chemokine interleukin-8-like domain
NP_001518.3	NP_001518.3; NP_004955.2	488; 482	Pfam	PF00850; PF00850	Histone deacetylase domain; Histone deacetylase domain	4.6E-87; 5.1E-87	IPR023801; IPR023801	Histone deacetylase domain; Histone deacetylase domain
NP_001534.1	NP_001534.1; NP_072091.1; NP_003626.1	882; 872; 883	Pfam	PF00685, PF12062; PF00685, PF12062; PF12062, PF00685	Sulfotransferase domain, heparan sulfate-N-deacetylase; Sulfotransferase domain, heparan sulfate-N-deacetylase; heparan sulfate-N-deacetylase, Sulfotransferase domain	3.0E-45, 2.3E-249; 1.5E-42, 5.1E-244; 2.5E-238, 2.5E-45	IPR000863, IPR021930; IPR000863, IPR021930; IPR021930, IPR000863	Sulfotransferase domain, Heparan sulphate-N-deacetylase; Sulfotransferase domain, Heparan sulphate-N-deacetylase; Heparan sulphate-N-deacetylase, Sulfotransferase domain
NP_001610.2	NP_001610.2; NP_005151.2	689; 688	Pfam	PF00169, PF00615, PF00069; PF00615, PF00169, PF00069	PH domain, Regulator of G protein signaling domain, Protein kinase domain; Regulator of G protein signaling domain, PH domain, Protein kinase domain	3.6E-11, 4.7E-19, 5.2E-70; 7.9E-21, 5.0E-10, 4.3E-71	IPR001849, IPR016137, IPR000719; IPR016137, IPR001849, IPR000719	Pleckstrin homology domain, RGS domain, Protein kinase domain; RGS domain, Pleckstrin homology domain, Protein kinase domain
NP_001619.1	NP_001619.1; NP_064695.3	316; 316	Pfam	PF00248; PF00248	Aldo/keto reductase family; Aldo/keto reductase family	1.9E-56; 2.4E-58	IPR023210; IPR023210	NADP-dependent oxidoreductase domain; NADP-dependent oxidoreductase domain
NP_001622.2	NP_001622.2; NP_112603.2; NP_001623.3	528; 532; 535	Pfam	PF00245; PF00245; PF00245	Alkaline phosphatase; Alkaline phosphatase; Alkaline phosphatase	1.3E-187; 4.1E-189; 1.8E-190	IPR001952; IPR001952; IPR001952	Alkaline phosphatase; Alkaline phosphatase; Alkaline phosphatase
NP_001639.1	NP_001639.1; NP_005542.1	261; 261	Pfam	PF00089; PF00089	Trypsin; Trypsin	8.3E-69; 8.6E-71	IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_001651.1	NP_001651.1; NP_001653.1; XP_024304740.1; NP_001350734.1	180; 180; 181; 181	Pfam	PF00025; PF00025; PF00025; PF15840, PF00025	ADP-ribosylation factor family; ADP-ribosylation factor family; ADP-ribosylation factor family; ADP-ribosylation factor-like protein 17, ADP-ribosylation factor family	2.6E-75; 2.2E-76; 7.3E-79; 4.0E-44, 1.0E-29	IPR006689; IPR006689; IPR006689; IPR031687, IPR006689	Small GTPase superfamily, ARF/SAR type; Small GTPase superfamily, ARF/SAR type; Small GTPase superfamily, ARF/SAR type; ADP-ribosylation factor-like protein 17, C-terminal, Small GTPase superfamily, ARF/SAR type
NP_001655.1	NP_001655.1; NP_001036143.1; NP_004031.1	193; 193; 196	Pfam	PF00071; PF00071; PF00071	Ras family; Ras family; Ras family	1.5E-58; 7.9E-58; 3.9E-57	IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase
NP_001680.1	NP_001680.1; NP_005166.1	142; 136	Pfam	PF00137; PF00137	ATP synthase subunit C; ATP synthase subunit C	4.3E-11; 3.9E-11	IPR002379; IPR002379	V-ATPase proteolipid subunit C-like domain; V-ATPase proteolipid subunit C-like domain
NP_001687.1	NP_001687.1; XP_016860714.1	226; 226	Pfam	PF01991; PF01991	ATP synthase (E/31 kDa) subunit; ATP synthase (E/31 kDa) subunit	2.2E-78; 1.0E-68	IPR002842; IPR002842	V-type ATPase subunit E; V-type ATPase subunit E
NP_001753.1	NP_001753.1; NP_006575.2	531; 530	Pfam	PF00118; PF00118	TCP-1/cpn60 chaperonin family; TCP-1/cpn60 chaperonin family	7.0E-169; 2.3E-163	IPR002423; IPR002423	Chaperonin Cpn60/TCP-1 family; Chaperonin Cpn60/TCP-1 family
NP_001782.1	NP_001782.1; NP_005043.1; NP_002863.1; XP_016873208.1	191; 192; 192; 191	Pfam	PF00071; PF00071; PF00071; PF00071	Ras family; Ras family; Ras family; Ras family	1.5E-53; 1.9E-54; 4.8E-54; 1.5E-57	IPR001806; IPR001806; IPR001806; IPR001806	Small GTPase; Small GTPase; Small GTPase; Small GTPase
NP_001817.1	NP_001817.1; NP_001818.1	79; 79	Pfam	PF01111; PF01111	Cyclin-dependent kinase regulatory subunit; Cyclin-dependent kinase regulatory subunit	7.6E-38; 2.4E-37	IPR000789; IPR000789	Cyclin-dependent kinase, regulatory subunit; Cyclin-dependent kinase, regulatory subunit
NP_001897.4	NP_001897.4; NP_001020371.3	263; 263	Pfam	PF00089; PF00089	Trypsin; Trypsin	4.9E-73; 1.2E-72	IPR001254; IPR001254	Serine proteases, trypsin domain; Serine proteases, trypsin domain
NP_001956.4	NP_001956.4; XP_011537729.1	486; 489	Pfam	PF00096; PF00096, PF11928	Zinc finger, C2H2 type; Zinc finger, C2H2 type, Early growth response N-terminal domain	6.4E-4; 3.3E-6, 3.5E-26	IPR013087; IPR013087, IPR021849	Zinc finger C2H2-type; Zinc finger C2H2-type, Early growth response, N-terminal
NP_002001.1	NP_002001.1; NP_003859.1; NP_062825.1	208; 207; 211	Pfam	PF00167; PF00167; PF00167	Fibroblast growth factor; Fibroblast growth factor; Fibroblast growth factor	5.9E-48; 3.5E-48; 2.2E-47	IPR002209; IPR002209; IPR002209	Fibroblast growth factor family; Fibroblast growth factor family; Fibroblast growth factor family
NP_002044.2	NP_002044.2; NP_060754.2; NP_004111.2	592; 595; 591	Pfam	PF02841, PF02263; PF02841, PF02263; PF02841, PF02263	Guanylate-binding protein, C-terminal domain, Guanylate-binding protein, N-terminal domain; Guanylate-binding protein, C-terminal domain, Guanylate-binding protein, N-terminal domain; Guanylate-binding protein, C-terminal domain, Guanylate-binding protein, N-terminal domain	2.6E-127, 1.8E-124; 2.2E-121, 9.5E-125; 8.0E-128, 1.1E-125	IPR003191, IPR015894; IPR003191, IPR015894; IPR003191, IPR015894	Guanylate-binding protein/Atlastin, C-terminal, Guanylate-binding protein, N-terminal; Guanylate-binding protein/Atlastin, C-terminal, Guanylate-binding protein, N-terminal; Guanylate-binding protein/Atlastin, C-terminal, Guanylate-binding protein, N-terminal
NP_002058.2	NP_002058.2; NP_002063.2; NP_004288.1	359; 359; 355	Pfam	PF00503; PF00503; PF00503	G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit	1.0E-115; 5.8E-119; 6.2E-115	IPR001019; IPR001019; IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit
NP_002060.4	NP_002060.4; NP_006487.1; NP_002061.1; NP_066268.1	354; 354; 355; 354	Pfam	PF00503; PF00503; PF00503; PF00503	G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit; G-protein alpha subunit	6.4E-126; 2.1E-123; 4.0E-126; 1.1E-123	IPR001019; IPR001019; IPR001019; IPR001019	Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit; Guanine nucleotide binding protein (G-protein), alpha subunit
NP_002073.2	NP_002073.2; NP_005299.1	589; 590	Pfam	PF00069, PF00615; PF00069, PF00615	Protein kinase domain, Regulator of G protein signaling domain; Protein kinase domain, Regulator of G protein signaling domain	8.8E-69, 1.2E-18; 9.7E-65, 2.2E-22	IPR000719, IPR016137; IPR000719, IPR016137	Protein kinase domain, RGS domain; Protein kinase domain, RGS domain
NP_002085.3	NP_002085.3; NP_060564.2	637; 628	Pfam	PF03144, PF00009, PF07145, PF03143; PF07145, PF03143, PF00009	Elongation factor Tu domain 2, Elongation factor Tu GTP binding domain, Ataxin-2 C-terminal region, Elongation factor Tu C-terminal domain; Ataxin-2 C-terminal region, Elongation factor Tu C-terminal domain, Elongation factor Tu GTP binding domain	1.3E-7, 1.2E-45, 3.0E-5, 1.2E-24; 3.0E-5, 1.3E-23, 6.1E-45	IPR004161, IPR000795, IPR009818, IPR004160; IPR009818, IPR004160, IPR000795	Translation elongation factor EFTu-like, domain 2, Translational (tr)-type GTP-binding domain, Ataxin-2, C-terminal, Translation elongation factor EFTu/EF1A, C-terminal; Ataxin-2, C-terminal, Translation elongation factor EFTu/EF1A, C-terminal, Translational (tr)-type GTP-binding domain
